lang	precision	recall	f1-score	support
glg	0.86	0.88	0.87	500
glk	0.86	0.86	0.86	500
glv	0.97	0.97	0.97	500
grn	0.97	0.95	0.96	500
guj	0.97	0.96	0.97	500
hak	0.99	0.94	0.97	500
hat	0.99	0.97	0.98	500
hau	0.97	0.96	0.96	500
hbs	0.48	0.50	0.49	500
heb	0.99	0.99	0.99	500
hif	0.90	0.89	0.90	500
hin	0.85	0.84	0.84	500
hrv	0.43	0.57	0.49	500
hsb	0.94	0.91	0.92	500
hun	0.98	0.95	0.96	500
hye	0.98	0.98	0.98	500
ibo	0.91	0.86	0.88	500
ido	0.96	0.92	0.94	500
ile	0.95	0.89	0.92	500
ilo	0.96	0.95	0.95	500
ina	0.87	0.94	0.90	500
ind	0.67	0.65	0.66	500
isl	0.96	0.96	0.96	500
ita	0.79	0.91	0.84	500
jam	0.95	0.96	0.95	500
jav	0.85	0.90	0.87	500
jbo	0.99	0.99	0.99	500
jpn	0.98	0.98	0.98	500
kaa	0.97	0.94	0.96	500
kab	0.95	0.91	0.93	500
kan	0.94	0.93	0.93	500
kat	0.95	0.96	0.96	500
kaz	0.96	0.99	0.97	500
kbd	0.99	0.98	0.98	500
khm	0.92	0.91	0.91	500
kin	0.94	0.91	0.92	500
kir	0.96	0.93	0.95	500
koi	0.79	0.88	0.83	500
kok	0.87	0.86	0.87	500
kom	0.92	0.77	0.84	500
kor	1.00	0.98	0.99	500
krc	0.96	0.94	0.95	500
ksh	0.92	0.88	0.90	500
kur	0.97	0.95	0.96	500
lad	0.93	0.89	0.91	500
lao	0.95	0.92	0.93	500
lat	0.77	0.89	0.82	500
lav	0.94	0.90	0.92	500
lez	0.96	0.93	0.94	500
lij	0.92	0.88	0.90	500
lim	0.92	0.91	0.92	500
lin	0.92	0.90	0.91	500
lit	0.96	0.94	0.95	500
lmo	0.87	0.86	0.86	500
lrc	0.93	0.89	0.91	500
ltg	0.92	0.95	0.94	500
ltz	0.95	0.90	0.92	500
lug	0.99	0.95	0.97	500
lzh	0.87	0.96	0.91	500
mai	0.85	0.83	0.84	500
mal	1.00	0.99	0.99	500
map-bms	0.65	0.74	0.69	500
mar	0.85	0.89	0.87	500
mdf	0.93	0.91	0.92	500
mhr	0.95	0.94	0.94	500
min	0.99	0.99	0.99	500
mkd	0.95	0.92	0.94	500
mlg	0.99	1.00	0.99	500
mlt	0.97	0.97	0.97	500
mon	0.95	0.90	0.92	500
mri	0.99	0.98	0.99	500
mrj	0.98	0.95	0.96	500
msa	0.78	0.67	0.72	500
mwl	0.93	0.92	0.92	500
mya	1.00	0.99	0.99	500
myv	0.78	0.80	0.79	500
mzn	0.92	0.93	0.93	500
nan	0.94	0.95	0.95	500
nap	0.89	0.90	0.90	500
nav	1.00	1.00	1.00	500
nci	0.85	0.88	0.86	500
nds	0.90	0.92	0.91	500
nds-nl	0.86	0.83	0.84	500
nep	0.63	0.82	0.71	500
new	0.95	0.97	0.96	500
nld	0.87	0.89	0.88	500
nno	0.88	0.88	0.88	500
nob	0.82	0.77	0.79	500
nrm	0.95	0.92	0.94	500
nso	0.98	0.95	0.96	500
oci	0.75	0.78	0.76	500
olo	0.98	0.93	0.95	500
ori	0.99	0.96	0.98	500
orm	0.94	0.94	0.94	500
oss	0.99	0.97	0.98	500
pag	0.95	0.88	0.91	500
pam	0.93	0.91	0.92	500
pan	1.00	0.98	0.99	500
pap	0.94	0.92	0.93	500
pcd	0.69	0.68	0.69	500
pdc	0.85	0.79	0.82	500
pfl	0.79	0.86	0.82	500
pnb	0.97	0.97	0.97	500
pol	0.93	0.95	0.94	500
por	0.89	0.87	0.88	500
pus	0.98	0.93	0.96	500
que	0.96	0.93	0.95	500
roa-tara	0.92	0.95	0.93	500
roh	0.95	0.93	0.94	500
ron	0.93	0.97	0.95	500
